,_,mrw,sentence
6733,,at that,But tha but you it 's full at that you know
6734,,fit,Whereas the the the you you could you could you could fit sixteen seventeen hundred
6735,,between,No I reckon th th there was th th they reckon between a a thousand and e eleven hundred for a night you know
6736,,at that,But you could n't fucking move at that
6737,,bit crushed around bloody hell,Yeah but it was a it was also a ver it was a bit of a celebrity I mean it was people people were crushed around bloody hell I mean
6738,,that,Yeah that 's right
6739,,see before free free,I mean I do n't know I you see I left I had to come here so I left before Bob Monkhouse and everything I just I all I did was go for couple of free drinks and plate of free food which I do n't think I got
6740,,reckon,Were you op well I did n't reckon you were opposition
6741,,about,just cos you you were coming out with about two hundred and fifty quid a week for working seven nights a week
6742,,Get blood going,Get your blood going
6743,,with load bands on,I mean I 'll I 'll I 'll be interesting to see how they they start next week with a a load of er bands on Thursday nights
6744,,chartsey stuff,I mean they 're all chartsey stuff but
6745,,that stuff draw punters chart stuff,you know I I da that kind of stuff does n't draw punters generally chart stuff cos the people who go
6746,,to,I think the young people go to it like
6747,,that,Maybe some of that will
6748,,Top stuff in sense see live that in,Top of the Pops stuff does n't in the sense that people who like to go and see live music do n't people who like that kind of music prefer the dis prefer it in a
6749,,context,disco context
6750,,live,Not not seeing sort of a live concert
6751,,In in stuff,In fact in fact most of the stuff they do n't like anyway
6752,,those backing,Well they 're not lo all those appearances are P A it 's all gon na be mimed and backing tapes
6753,,that that on,Erm that blooming Labour Party cancelling that conference on March twenty second and which has
6754,,messed up,messed me up
6755,,before that,Cos I was Mary wanted to go and see Si Simply Red at G MEX and last weekend we co or weekend before last when they were on their big er we could n't because I had the kids Friday night and the two of them Saturday night and it that was the two nights
6756,,that,So so so I said well we 'll go to the N E C or Sheffi she said oh I 'm not traipsing all that way you know just for the concert
6757,,moaning away,So and she was she was moaning away like sort of oh we alright
6758,,over on,I 'll take you over to Paris and we 'll watch them in Paris on the twenty so she said oh when
6759,,on,The Labour Party Conference is on so I ca n't go
6760,,came in,And then she came in oh Labour Party Conference is cancelled
6761,,on,You see Jean on the telly with Neil Kinnock
6762,,about,No I 've been told about it
6763,,on,It 's on all the national news
6764,,on,It was n't it was n't on the regional news it was peculiar
6765,,on on,It was on the six o'clock nat well it was on all day one o'clock two o'clock three o'clock
6766,,on,It was n't on the regional news
6767,,up,He was up seeing all the north west candidates parliamentary candidates
6768,,that,Jean was in that horrible sa mustard and black striped
6769,,contraption,contraption
6770,,up,Her dressing up outfit
6771,,point,Hear Labour are one point five I heard it yesterday
6772,,dirty tricks,All the dirty tricks start now though
6773,,to that,I do n't I do n't I do n't whether he 's going to that
6774,,called,Forgotten what it 's called
6775,,that,west er no la regional councils re Labour council the urban councils or something like that
6776,,that,Something like that yeah
6777,,to that this this up,I do n't know whether he 's going to that he might be but this was this he was up sort of seeing meeting all the Labour Party candidates for the north west
6778,,out of there,Seriously I 'd fucking have it out of there everything I own
6779,,dirty tricks,But he ta all the dirty tricks are starting now
6780,,about,Er I remember you said about
6781,,full on ties with,full Sunday Times tomorrow Major expose on the lader le the lea the Labour leaderships ties with a Moscow Moscow company
6782,,getting,Oh you mean they 're still getting Moscow 's
6783,,got,It 's like what 's it they 've got
6784,,about,I think it 's about time I got my share of the
6785,,call,Well who 's doing it tomorrow what they call it
6786,,view on,Personal view of the files on
6787,,gon na out with stick,He 's gon na out with some stick
6788,,to getting rough at about,Kinnock was saying to erm the candidates you know we re I realize that a lot of you are getting it rough at the moment cos there 's about five Labour
6789,,that,Derby that 's right
6790,,under,Blackpool 's under investigation
6791,,to at bottom end got positioned these,Anyway so erm he said but you know he was saying to them that er it 's not just at the bottom end he said in our village in Wales we 've got the Sun have now positioned two reporters who have lived in the village the these the they sit in a car outside his house day and night
6792,,get dirty story,They 've been to his little boy 's primary school interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story
6793,,save,You ought to save them wooden type of things for it
6794,,down,Yeah what have they got down in there
6795,,That,That type of floor yeah
6796,,get,And it 's a ma I mean you get four hundred people on the dance floor in the Sugar House
6797,,this,Where is this Sugar House
6798,,that,How do you get to that
6799,,Up up got,Up up the alleyway by the Yorkshire you got Yorkshire House there
6800,,up that,Waring and Gillow and it 's up that alleyway there
6801,,off bought off on back,We bought it off the city well Michelin bought it off the city council and they gazumped us and erm but we we have tables and chairs onto the dance floor on other nights and just pull them back when it 's clear
6802,,That,That 's how we used to do it
6803,,get get,So er can they get yeah they get eleven twelve
6804,,limit,Is the like legal limit
6805,,on,on a night
6806,,put in,they 've put twelve thirteen hundred in
6807,,left got,But when when they can but you 've ju i in the Empire if you if you 've I do n't know actually i before they before they messed about with all the raised seating and everything if it had been just left open like the Old Floral Hall like it was you 'd have got seventeen
6808,,putting in,they must have been putting two thousand in you know
6809,,in those,in those days
6810,,packed up,Well I mean they 'll all be packed up in the bars upstairs would n't they and everything
6811,,that,you know leaning over the balcony and all that sort of er
6812,,way way got,But I 'd er I 'd you know the way they 've the way they 've got it now I do n't I do n't know
6813,,aspect about that,But you know i I mean actually the other the other aspect of it Anne if you if you pull this out you could be talking about hosting small conferences and that
6814,,looking at,Cos if you 're looking at a two hundred capacity conference for er
6815,,messing,No messing
6816,,that that makes picture,Ma that that just makes the total picture just different altogether
6817,,that that little,So right so that 's that little job
6818,,sorted out,sorted out
6819,,get,get
6820,,play with that see,I 'm gon na play with that and see what
6821,,get,probably need to get Ken 's per
6822,,with,we can do with it then
6823,,get,probably need to get Ken 's permission
6824,,that,For that
6825,,catched,I 've got ta be catched I wo n't actually do it I 'll just come in run a mo just give it complete customers and and help
6826,,from that,Actually th from the original structure I mean it 's it 's it was half that size anyway
6827,,get,Oh that 's get his permission for nothing
6828,,At,At the moment
6829,,at this before,his face at moment he had n't been anywhere round to since all this happened before Christmas
6830,,little,Obnoxious little man int he
6831,,this,So what is so there 's nothing to the other side just apart from this big room
6832,,that,So that 's that one
6833,,massive,There 's a massive room with twelve snooker twelve snooker tables
6834,,this,er just maybe the size of this
6835,,got got bottom,And what they 've what they 've got they 've got the bar in a far bottom corner
6836,,to had,When we have a when we were talking to them and we had the door through and my snooker got really good
6837,,quick,Do you fancy a quick game then
6838,,in,Might do in a minute
6839,,that that have,Well I shall go because if that fella 's been from if that fella said I did n't have a job I 'll be jumping up and down like a what d' ya call it
6840,,that into,I 'm I 'm going to erm we 'll make that into something American
6841,,that,Have to think of that
6842,,get into,We do we will I 'm just saying we do wan na get into cocktail and
6843,,Sod off,Sod off
6844,,looking at,No we do n't wan na be looking at
6845,,That,That 's who we need to advise us do n't we
6846,,Bastards stealing,Bastards stealing our customers last night
6847,,put on,Criticizing a scooterist do n't want them in town and then put functions on and cheap beer for them when they come
6848,,that,Well they do that do n't they
6849,,that,stuff like that
6850,,That,That 's for Frontier Land
6851,,That,That 's right
6852,,Punters go go,Punters would n't go go for it
6853,,wants,No I do n't no no no no no but I know it wants to be erm
6854,,rules on,Have you seen the new rules on er bar staff
6855,,Full stop,Full stop
6856,,That,That 's right
6857,,that,Who says that
6858,,This,This is Health and Environment it 's a new
6859,,in,When 's it in operation
6860,,have that,Oh I could n't have that
6861,,treating,They 're treating ba
6862,,have look at this,Got to have a look at this
6863,,treating,they 're treating alcohol as food
6864,,things on apply to,So all the hygiene things on food apply to alcohol
6865,,that,Oh I know that
6866,,have,You 're gon na have to have somebody else to take the money wo n't you
6867,,have,You 'll have to have a cashier
6868,,mean,You ca n't have yo it 'd mean one to serve and one take the money
6869,,have,Well what we 'll do is we 'll do we 'll just have a pump at the side of the till
6870,,punters on,There 's punters on the door
6871,,with,No just ask them if it 's effective with your license just you know sort of as you come
6872,,those,We 're sterilizing the bar with those
6873,,that that came,all just hardboard like that with just a little O like that and you you you shout a pint of beer and you pushed your money through and then a beer ca came out the other side
6874,,Bet,Bet it was erm
6875,,rough,It was rough
6876,,Waste,Waste of time though in n it
6877,,bit rough,It was a bit of a rough area
6878,,Great,Great
6879,,way that down,I mean the only way you could do that would be if you had a till at one end and people bought whatever they wanted and were given a voucher and you walked down the other end and exchanged
6880,,That way make that work,That 's the only way you could actually make that work at all
6881,,round bloody bend,I mean it 'd be two thi forty we 'd be round the bloody bend
6882,,this,Yeah but it 's somebody sitting in an office in n it deciding this
6883,,This,This is a good idea
6884,,on,You know they do n't serve behind the bar on a Saturday night
6885,,That,That 's
6886,,that,true that
6887,,about this load crap that,I mean you think about all this I mean a load of crap when they have larders and all that
6888,,odd this,Alright you might have got the odd but it 's all this warming doing it and then half leaving it and then
6889,,that does damage,warming it up again that does the damage
6890,,does,Certainly does
6891,,back,So well I shall wander back with my little book now
6892,,on,I know I come on a Friday I were absolutely gobsmacked
6893,,have,Yeah well I 'll have a wander in Saturday night then
6894,,that that,But is that is that
6895,,This,This is definite
6896,,that,Got ta climb up that other end
6897,,orifice down,There 's another there 's a orifice down there
6898,,way,Why are the doors always wrote wrong way
6899,,down,That 's ours as well down there
6900,,that with,And that 's with the chip system obviously
6901,,down,It 's er cleaner 's room two dressing rooms and toilets down there
6902,,about knocks,Well this is the area that you 'll have to do something about is the if you 're gon na knock it into the Winter Gardens this is the area that knocks into the Winter Gardens
6903,,lead,Does that lead
6904,,to,But more in but what it was we when I was in here sort of five days a week nine to five job
6905,,that,it was getting depres it was getting oppressive in that little office down there
6906,,at wants,I did n't realize it at the time but I think it wants
6907,,thing in see those,Course the other thing you 've got ta invest in is tables and well you do n't need chairs but tables I mean as you can see we 've got two hundred of those poly-cotton chairs in there which is erm can be used
6908,,get up,I 'll get some tables up with erm
6909,,going down,So many places Barry are going down
6910,,in sorted out stuff,Just keep just in fact just keep well le let's get it sorted out and then we 'll just get er er cos plenty of storage space and stuff
6911,,see,Used to have tables and extensions you see
6912,,Bloody hell,Bloody hell
6913,,things,It 's all foyers and things
6914,,to,Speak to you later
6915,,concerned trying,The two companies concerned are trying to record the spoken word
6916,,thing thing dot around in things,So the thing the thing to do is to sort of dot around in the conversation things like pre antidisestablishmentarianism
6917,,This get usage,This will get modern usage of words
6918,,about,Of one of the words that she was talking about people have started using wicked for a normal phrase
6919,,mean says in,I mean it does n't mean what it says in the dictionary any more
6920,,That wicked thing,That 's a really wicked thing to say he went no it 's not it 's bad it 's not wicked
6921,,that,Well that 's the idea anyway
6922,,go to,Are you going to go to sleep eh
6923,,That mean,Please That does n't mean much does it
6924,,at,Who do you want to go and gurgle at
6925,,little,Have you had enough grub for a little while
6926,,Come on give,Come on give Auntie Pauline a nice smile
6927,,Go on,Go on you do lovely smiles
6928,,drives,I know it drives you mad the music but er
6929,,longer,I would n't mind if those blasted slightly longer life in terms of the music they played
6930,,that,Well I mean that 's what 's nice for them is n't it
6931,,see got short concentration,You see they 've got a short concentration
6932,,in background,Do you think music in the background sort of do all the lyrics as well
6933,,little bit,a little bit was n't it
6934,,had lot that,She 's had a lot of that today
6935,,put on,Well do n't put it on too loud will you
6936,,have,why babies have a suck there
6937,,went,You say they 're having milk he went what do you mean
6938,,comes,What do you mean milk comes out there
6939,,had,So I said well it 's only when you 've just had a baby like you know like cows
6940,,to,You will speak to me
6941,,to,You will speak to I 'm very relaxed
6942,,go in,I would n't like to go for a week in silence
6943,,stay in,You know I ca n't stay for a week in silence
6944,,middle,He does n't know his middle name does he her name
6945,,to,I spoke to today
6946,,that,Well that 's the name of the company is n't it
6947,,that,Oh that 's what he wants to be is n't it
6948,,with,Well she works with him does n't she
6949,,deal with run,He 's got to go and deal with the children take them to and from work then run a business
6950,,at,Then he 's got to go home at lunchtime and give her some food
6951,,naughty,Have you been buying naughty things again Joelle
6952,,in,Oh you 're doing it in English are you
6953,,in,I hate this in English
6954,,stand,Oh it 's the voices I ca n't stand
6955,,go,Did it go bonk
6956,,that,Well she 's just heard it that 's why but she does n't she does n't say it very much does she
6957,,in,I 've only heard it once or twice in the last few
6958,,that,Well that 's normal
6959,,these,Right let's go and see if these chicken things are ready
6960,,about,I said try and start thinking about getting in there because
6961,,About,About two minutes
6962,,After,After dinner yeah
6963,,over,Brian and Pauline probably wo n't arrive till it 's virtually over
6964,,that that,Ah that 's that done
6965,,load,Like chicken Kiev without a load of sloppy butter
6966,,lot,There 's a lot of banging and crashing on this tape
6967,,make to,Brian said we 'll make it tomorrow night eight to eight thirty
6968,,had,So cos he had an early erm what do you call it early estimate
6969,,sort out,Can you sort erm madame out
6970,,Go on,Go on you tell Daddy what you did in front of erm
6971,,these have ride,Yeah one of these things you sit in put twenty P in or whatever it is and have a ride for two minutes
6972,,with,Oh Charlotte do n't talk with your mouth full
6973,,have,Because Sainsbury did n't have any yesterday
6974,,have,Did they have any today
6975,,sorting out,I made beans when I 'd finished sorting out this one I
6976,,That take,That take me nearly all the er
6977,,this,Then this afternoon we went to Croydon
6978,,poor old lady at,She 's a poor old lady at the moment
6979,,with,Charlotte please do n't talk with your mouth full there 's a good girl
6980,,pig,We want to bring up a nice girl not a little pig
6981,,pig,No nice girl not a little pig
6982,,way,Not the way you stuff your cake in your mouth like that
6983,,at,I would n't bounce at the same time
6984,,about,I could n't work out what you were talking about
6985,,takes at,It only takes one at a time
6986,,in about,Be bath time in about fifteen minutes
6987,,cringing put this rubbish on,will sit there cringing said I ca n't believe they put this rubbish on terrible
6988,,on,Who was on it
6989,,on,Do n't know who was on it actually
6990,,on with on done,Well she does n't like M C Hammer he was on and then there was one week with Germans on it and it was erm it 's a German group that used to be popular and have n't done a song for ages
6991,,makes cringe that things,I mean it was just the words they were using I mean oh It makes you cringe oh and then that er girl oh she 's done quite a few things recently
6992,,back to,back to my diet today
6993,,about,She was about to but she found a sticker on book
6994,,comes out,She comes out well on tape does n't she
6995,,clear,I did n't realise how clear her speech was until I heard it on the tape
6996,,that,It looked like that did n't it
6997,,that,You missed that
6998,,far back go,How far back does this go I suppose early fifties
6999,,at,I do n't think he ever recorded it I think he just used to sing it at his er sort of cabaret
7000,,these,Well so many of these songs have been done by so many people that you would be forgiven for thinking that that
7001,,those,Like for instance the er what do they call those two
7002,,In,In the
7003,,that,The Everley Brothers that 's it
7004,,that,Well Simon and Garfunkel did that
7005,,Wicked,Wicked far out
7006,,that,I suppose you like that film
7007,,things down,So how 's things down at the
7008,,on,Keeping him busy out on estimates and
7009,,this,Yeah he 's out all this week
7010,,pass onto,Well my dad wo n't pass them onto Terry
7011,,had give to,Me dad said he 's had enough Well we were debating whether to give it to you or not
7012,,in big,Well in fact two really big estimates
7013,,wanted wanted,And one wanted re-estimating the other one wanted a few more prices cos everything like marble tops which are going to cost a fortune to get done
7014,,give gone into in detail,We give them a provisional kind of price and not really gone into it in detail
7015,,about things sorted out far,So she had a list of about five things she wanted sorted out and she said so far we were the cheapest
7016,,got about,But she 's got about six different firms on the computer and was comparing notes
7017,,down to sort those out,So I worked out and the other two were really fitting and electrics and it was all down to Terry to sort those out
7018,,about to to,And they 're both about two to three thousand pounds worth of sanitary ware or more but two to three thousand pounds worth of work
7019,,lose,Well you ca n't afford to lose them can you
7020,,on sort out,He said I asked asked well I left a message on Saturday for him to sort them out did n't I
7021,,about that,He already knew about that
7022,,on fetch in on,And then I asked my father on Tuesday to remind him and he said he 'd already said he 'd fetch them in on Tuesday
7023,,have by,And he my father reminded him last night and he said yeah he would have them by tomorrow morning
7024,,this these polishing touches in keen on,Well I mean he 'd done he 's done this first estimate these are all just polishing touches cos people are obviously interested in you know they 're well keen on our prices
7025,,pursue,they ca n't pursue it till we come back to them
7026,,pursuing put these things out,They 're not pursuing it until we put these things out
7027,,had passes on to,My father just turned round I 've had enough of it if Terry 's not going to do the estimate he passes them on to Brian
7028,,get into with passing to,I said yeah then I get into trouble with them for not passing estimates to Terry and then there 's an argument
7029,,to,If he if he says anything to me I 'll just have to tell him
7030,,given throw away,But he 's not doing the estimates he 's been given and he ca n't afford to throw money away
7031,,at,It 's cos he 's working for him at the moment money
7032,,that after,He always gets like that and then he forgets after like a month or two when he has n't worked for him
7033,,swings way,He forgets how annoying he can be and you know he swings the other way
7034,,lot,I mean Brian 's pulled in a lot of work
7035,,lot on,lot of people kind of saying come back again on Thursday So he 's he 's
7036,,got that away,If we got Terry to do that we 'd be well away
7037,,pulling weight,They they would love him I mean one of them it was annoying really cos Terry 's just not pulling his weight
7038,,had that about after,And also it 's cos that you know after we had that row about Terry after Bank Holiday expecting not to have to do a day in the shop and er he 's already owing Brian a day
7039,,got cover,Guess who 's doing the extra day got my dad to cover a day
7040,,takes off,And then he takes a day off Bank Holidays
7041,,on,And on Monday
7042,,covering,So who 's covering tomorrow
7043,,covered,Well my brother 's covered practically all week and Brian 's doing tomorrow
7044,,about past covering,Terry phoned up asking what Tuesday morning about quarter past eight said who was covering
7045,,this,I mean he has n't been in the shop once this week
7046,,sorted,And it has n't been sorted yet
7047,,got gall on short,He 's got the gall to phone up on Tuesday and say Eileen ca n't do a day we 're going to be short of Eileen
7048,,answer,So the answer is to just phone them
7049,,point that,What 's the point of carrying on like that
7050,,that,Well he 's going to carry on like that is n't he
7051,,puts foot down,Not unless someone puts their foot down
7052,,taking side things worth far take,And if your father is currently taking your side of things worth sounding him out as to how far he 'll take
7053,,in,whilst he 's in the mood
7054,,that,He 's not being that much
7055,,in upsetting on in,He 's probably only in the mood cos he 's probably upsetting them on his night out cos they go out in the evenings
7056,,On,On a Wednesday evening do n't they
7057,,have,I mean would n't he rather have Terry as a sort of permanent worker anyway
7058,,fair,It 's not being fair
7059,,get,He does get the offer I mean
7060,,made out in,two months and she phoned up and I kind of made out it got lost in the post
7061,,got give on,I erm got check you 've got two days you 've got give me the estimate it 's got to be on because she 's expecting it to be done straight away on the computer and sent
7062,,that,And he actually got that one done
7063,,lines,Do you know it was only five lines
7064,,made up that,I mean I could have made it up it was that easy
7065,,that,So I sent that off
7066,,thing that thing next that fine,She was in first thing I mean I sent it off that evening she was in first thing the next morning yes that 's fine
7067,,got that,So he 's got that job and another one
7068,,that gets,I do n't understand why it surprises you that 's what gets me
7069,,sheet,Can you pass me that er sheet
7070,,do with,No that 's to do with this tape
7071,,that,What was it the Lords temporal and spiritual that 's what they call themselves
7072,,that that,Now that is that 's
7073,,come into contact with,Yeah I realise and I hope I do n't come into contact with too many acts of parliament
7074,,had,Oh we had someone round to see the house yesterday
7075,,That old trick,That 's an old trick
7076,,to,I said to Danny do n't open the door
7077,,come down come down,They 'd come down from they 'd come down from erm somewhere or other
7078,,loads loads with,They 're just doing a kind of tour of loads and loads of houses cos they keep moving with his job
7079,,about that,She quite I think she liked the area she was saying about the schools and that
7080,,have details,She said do n't they have any details
7081,,that,So I said well no it 's not now is it it 's erm oh it 's that school that the
7082,,that,performing arts and that 's the technical
7083,,rotten old pig,Oh you rotten old pig you 've been sick
7084,,feel,Do you feel better now
7085,,stop,Alright stop it then keep that
7086,,manage that,I think we might be able to manage that
7087,,Pet,Pet hold mummy 's hand hold mummy 's hand there 's a good girl off we go
7088,,to,Look at me when you 're talking to me I ca n't hear you
7089,,come on,Oh you want to walk on that oh Charlotte come on then you 're pushing me into the road
7090,,that,Granddad that 's right
7091,,in,Or it 's Grandpa Granddad 's in American is n't he
7092,,on,Granddad 's a long way away he 's on holiday
7093,,on,Yeah on holiday
7094,,On that,On holiday that 's right he sent you a letter did n't he
7095,,little bit,Hold me a little bit
7096,,up to busy in,Hold my hand nicely sweetheart there 's a good girl we 're coming up to a busy road in a minute and it 's dangerous Walk nicely darling there 's a good girl walk nicely just stand still a minute sweetheart hold my hand Charlotte please hold my hand there 's a good girl
7097,,bit,Little bit further
7098,,bit,Little bit further yes it 's not very far it 's not very far
7099,,those before,Now where are those little biscuits we had before
7100,,getting on,How you getting on
7101,,That,That another one
7102,,keeping,How you keeping
7103,,Exhausted,Exhausted
7104,,there,Alright there
7105,,hard,Oh yeah hard work with two
7106,,come on,Do n't be rude come on say hello do you remember Lynn
7107,,long,Have n't seen you for a long time have you
7108,,with,No not happy with me today
7109,,that,Is that
7110,,way at,Yeah still Natalie to learn the way how I look at it
7111,,keep give,I would n't keep you I give you a visit one day
7112,,pop,Yes do come pop in
7113,,give,I 'll give you a ring
7114,,at,We do n't get out much at the moment
7115,,coming up monster,Yeah she 's only coming up for six weeks mm a monster
7116,,that that,No two girls that 's nice we got two girls they 've got two boys Brian and so that 's alright we 're quite happy
7117,,to,Someone to pass the eh clothes down to in n it
7118,,monster that,Charlotte I 've got to finish get home and feed this monster do n't do that please
7119,,those come on,we 'll get some of those I 'll put them in in the trolley come on now Charlotte please do n't start being naughty do n't start
7120,,with this,Charlotte mummy get cross with you if you start this nonsense just got to get some dog food and some bread then we can go home O K
7121,,to,Do n't you say no to me
7122,,this,Difficult to pick up this is n't it
7123,,That,That
7124,,up,What 's in there we 've got biscuits I 'm just going to get some raisins alright they 're just up here you stay there
7125,,there menace there,Alright I can open this up I got the little box there you are just a minute and oh Charlotte oh you are a menace there you are now you be quiet for a minute will you
7126,,that,Let's get some peas I think that 's it then
7127,,add,Four add four and then
7128,,add,Four add four equals eight
7129,,Share,Share the total of fives
7130,,add add,Five add five add five
7131,,add add,add six add six
7132,,add,add six
7133,,add,add six
7134,,That,That 's it
7135,,Take,Take a look
7136,,that,Is that right
7137,,additions left,Er two additions left
7138,,add,Those two add
7139,,add add,So it 's like one two one two and one there and but put like erm seven add seven add seven is
7140,,add add,Seven add seven add seven is twenty one
7141,,that way,is twenty one and do it that way five and fives
7142,,addition,Two addition questions
7143,,Hang on,Hang on
7144,,addition,Two ad yeah but you 've got right two multiple and two addition equations
7145,,this,You told us this
7146,,addition,So two addition equations er three times se seven plus seven plus seven is twenty one
7147,,go,A so but you can also go
7148,,add,Yeah add three
7149,,that way on,Do it that way on
7150,,follow,Do you follow
7151,,addition,and two addition
7152,,addition,Two addition
7153,,that,Yes that 's right
7154,,That,That 's right
7155,,on adds,Same on the adds
7156,,in divisions in,Right she wants currency in two divisions in each right
7157,,divisions shared,yeah well divisions okay so it 's twenty one shared by say if that 's one two three four five six int it
7158,,got,Oh I know what I 've got
7159,,division shared,And division is shared by
7160,,shared,So you got to do eighteen shared by six is three and eighteen
7161,,shared,shared by three is six
7162,,go swap,So like you go one two three four five six six times you swap
7163,,division shared shared,A and division is eighteen shared by three is six and eighteen shared by six is three
7164,,Got,Got it
7165,,got,You got it
7166,,Hang on,Hang on
7167,,That get,That 's what I do n't get
7168,,line get that,Why do multiplication equation for this similar line I do n't a get how you do that
7169,,going to,No but it 's going to fours look
7170,,going to,It 's going to fours
7171,,Going into,Going into fours
7172,,put,What would I put
7173,,shared lines,As this is been shared by lines int it
7174,,on,Yeah and it 's on that one
7175,,that,You do it like that do you
7176,,shared,Yeah cos it 's being shared by
7177,,on shared divided,And on that one is er sixty three shared by nine six time sixty three divided by nine
7178,,divided,Sixty three divided by nine is six
7179,,Hang on,Hang on a minute
7180,,Hang on,Hang on a minute
7181,,takes,Well seven nines well ee er it takes you so long
7182,,into,So that one there is sixes into si thirty six
7183,,get,But I still do n't get what you have to write
7184,,line that,Well multiplication equation for this number line I would say is er I 've already told you that
7185,,get,Do n't get it
7186,,get,I do n't get it though
7187,,That,That 's lazy
7188,,cow,You crafty cow
7189,,lot fill in,If I give you a bit of paper and the lot yeah well you know what to do and go to school and fill them in
7190,,ready,Your dinner 's ready now
7191,,to to,She says to me I 've explained to her how to do it and she says yo I 'll give you a bit of paper you just write down the answers
7192,,put down,You know what she 's gon na do go to school and put them down
7193,,little sod,Crafty little sod she is
7194,,spot,Just a spot of information with somebody
7195,,out of from this,Ooh out of breath from this hill
7196,,give,Can you give me the particulars
7197,,that,Yeah that 's the one
7198,,up to about,And anything else up to about forty five-ish
7199,,From about to,From about thirty five to forty five
7200,,snatch back thing,Thirty five a snatch back or the repossession type thing I suppose
7201,,with,It really does n't matter to be honest with you
7202,,In that hang on hang on,In saying that hang on no hang on
7203,,do,Not necessarily no no a house would do
7204,,That,That 's quite nice
7205,,with,Preferably three but two get by with
7206,,that,There 's a new development in Johnston that one
7207,,that,Oh that one ye oh yes I know
7208,,see,is fifty six thousand you see
7209,,details,Do you want the details anyway
7210,,go,There we go
7211,,that,Well that 's the asking price
7212,,thing,For the spare bedroom usual thing
7213,,That gone reduced to,Lower Thornton That 's actually gone been reduced now to
7214,,hell that,Where the hell 's that
7215,,go on,Yeah go on
7216,,down,You turn right and you go down it and you 'll see a sign for Lower Thornton
7217,,down,It 's down there
7218,,That reduced to,That been reduced to forty four thousand
7219,,see,I see yes yeah
7220,,reduced,been reduced
7221,,that,Do you want me to write that on
7222,,go,There you go
7223,,over,Well my wife and I have only been here living here ooh just over twelve months now so we do n't really know the
7224,,full,Chorlton or Chorlton cum Hardy if you want the full glory
7225,,down in,move down in October
7226,,before,I think you need to I think you need to really of been somewhere else before
7227,,that,Yes I accept that
7228,,there,Y you 're absolutely right there
7229,,feel about this,Cos er you feel as you ju people moan about this sort of area they just do n't realize how
7230,,credit column,How many think of the credit column
7231,,with got to stage where at at,Well our milkman to be honest with you it got to the stage where he would n't collect milk at night to collect the cash at night
7232,,That,That 's the bit is n't it
7233,,between,I I can remember Mollyrange sixty years ago and it was a very very different place between you and me it really was
7234,,went around after,Oh the wife and I went around Mosside the day after the riots there and do you remember the riots
7235,,feel atmosphere,You could feel the atmosphere when you were sat in the car
7236,,that,It was that bad that we went when I bought my house in Manchester
7237,,went round,we went er round Mollyrange to get to you know the
7238,,that sells,the erm that good place that sells secondhand er or damaged erm
7239,,that,Range Warehouse that 's it yeah
7240,,thing lost,thing is that you know we were at w we actually we got lost and were asking directions
7241,,running away,People people were running away you
7242,,touched,Nick had his sunglasses on he must have looked a bit touched
7243,,at in,Well at the time she was in her very late thirties schoolteacher
7244,,about,I did n't know about it I did n't even know she was looking for one then
7245,,by way,Er we saw her one day she said oh I 've got the keys by the way
7246,,'d,She 'd no idea very innocent very er church you know
7247,,about that,she lasted there about six months that was all
7248,,draw line down,But it 's interesting Mollyrange if you draw a line down the centre Pakistanis on that side and Jamaicans on that side
7249,,made down,So what made you want to move down here
7250,,ties have tied to have,But you know how it is it 's family ties and kids growing up and then they grow up and have families of their own then you get tied to the ch grandchildren or what have you
7251,,pushing long down,I 've been pushing for a long time but erm down here
7252,,have retired that,Well I have a brother-in-law living in Stainton He 's lived there he retired there some what ooh fifteen years ago more than that
7253,,pressing come down long,He 'd been pressing me to come down here for a long time
7254,,down,drive down drop her off at in-laws
7255,,at,I could n't stand the bloke at the time
7256,,full,An ex Manchester lion board of directors very very full of himself
7257,,having round,He 'd been used to having chars and minions running round him
7258,,Took,Took him a while now he 's a very nice chap
7259,,Took,Took him a while to calm down
7260,,took,But now yeah it took him a while to calm down but he 's a very nice fellow now very nice chap
7261,,Extension in way,Extension really of Manchester in a way north Wales
7262,,to,Then we er got a letter from ah my daughters one of my daughters one of my many daughters married to a coastguard in Milford
7263,,in up,Erm she spotted a house in the paper sent it up
7264,,come on go down have,I said oh come on we might as well go down and have a look
7265,,went down that,And we went down liked it and that was it
7266,,down,Been down here ever since
7267,,before,And regretted that we had n't come before
7268,,give,If you fancy viewing any of them just give us a call
7269,,that,Oh indeed yes that 's right
7270,,with,Well I 'll concern it with my daughter first of all naturally
7271,,had,Cos I d I hate wasting I remember when we were selling ours the time wasters the people that had no intention of buying
7272,,there go,Erm there you go
7273,,come in,Oh it 's just come in obviously yeah
7274,,come in,Obviously just come in
7275,,That,That reminds me
7276,,full,Erm we had the original full blow up
7277,,to bits,And erm we sent it to well one of my other sons in Australia there and he was thrilled to bits
7278,,with,oh you did very well with your photography
7279,,see,Just too late I see
7280,,these making,Erm what if anything have you erm these are enquiries I 'm making on behalf of my daughter
7281,,from about to,Anything from about thirty five to forty five
7282,,load,Shall I just give you out a load and
7283,,load,Give me out a load yes
7284,,browse,And we can browse and
7285,,in that range,Yeah there 's quite a lot actually in that price range of homes
7286,,runners,Very well oiled runners on those er
7287,,carried away,They get a bit carried away actually
